[INFO ][2017-05-19 15:53:26,083][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 15:53:27,648][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 15:53:28,252][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 15:53:29,208][DruidDataSource:669] {dataSource-4} inited
[INFO ][2017-05-19 15:54:35,439][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 15:54:36,509][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 15:54:37,127][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 15:55:12,039][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 15:55:13,323][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 15:55:14,113][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 15:56:10,592][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 15:56:14,237][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 15:56:14,615][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 17:21:33,888][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 17:21:35,419][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 17:21:35,932][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 17:32:09,245][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 17:32:10,433][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 17:32:10,865][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-05-19 19:22:27,304][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-05-19 19:22:29,791][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-05-19 19:22:30,285][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-06-21 16:50:50,828][DruidDataSource:669] {dataSource-1} inited
[INFO ][2017-06-21 16:50:52,099][DruidDataSource:1385] {dataSource-1} closed
[INFO ][2017-06-21 16:50:52,468][DruidDataSource:669] {dataSource-2} inited
[INFO ][2017-06-21 16:50:52,500][DruidDataSource:1385] {dataSource-2} closed
[INFO ][2017-06-21 16:50:52,735][DruidDataSource:669] {dataSource-3} inited
[INFO ][2017-06-21 16:50:52,781][DruidDataSource:1385] {dataSource-3} closed
[INFO ][2017-06-21 16:50:52,969][DruidDataSource:669] {dataSource-4} inited
[INFO ][2017-06-21 16:50:52,998][DruidDataSource:1385] {dataSource-4} closed
[INFO ][2017-06-21 16:50:53,164][DruidDataSource:669] {dataSource-5} inited
[INFO ][2017-06-21 16:50:53,198][DruidDataSource:1385] {dataSource-5} closed
[INFO ][2017-06-21 16:50:53,339][DruidDataSource:669] {dataSource-6} inited
[INFO ][2017-06-21 16:50:53,410][DruidDataSource:1385] {dataSource-6} closed
[INFO ][2017-06-21 16:50:53,666][DruidDataSource:669] {dataSource-7} inited
[INFO ][2017-06-21 16:50:53,697][DruidDataSource:1385] {dataSource-7} closed
[INFO ][2017-06-21 16:50:54,128][DruidDataSource:669] {dataSource-8} inited
[INFO ][2017-06-21 16:50:54,147][DruidDataSource:1385] {dataSource-8} closed
[INFO ][2017-06-21 16:50:54,310][DruidDataSource:669] {dataSource-9} inited
[INFO ][2017-06-21 16:50:54,333][DruidDataSource:1385] {dataSource-9} closed
[INFO ][2017-06-21 16:50:54,568][DruidDataSource:669] {dataSource-10} inited
[INFO ][2017-06-21 16:50:54,591][DruidDataSource:1385] {dataSource-10} closed
[INFO ][2017-06-21 16:50:54,715][DruidDataSource:669] {dataSource-11} inited
[INFO ][2017-06-21 16:50:54,739][DruidDataSource:1385] {dataSource-11} closed
[INFO ][2017-06-21 16:50:54,898][DruidDataSource:669] {dataSource-12} inited
[INFO ][2017-06-21 16:50:54,923][DruidDataSource:1385] {dataSource-12} closed
[INFO ][2017-06-21 16:50:55,032][DruidDataSource:669] {dataSource-13} inited
[INFO ][2017-06-21 16:50:55,052][DruidDataSource:1385] {dataSource-13} closed
[INFO ][2017-06-21 16:50:55,183][DruidDataSource:669] {dataSource-14} inited
[INFO ][2017-06-21 16:50:55,238][DruidDataSource:1385] {dataSource-14} closed
[INFO ][2017-06-21 16:50:55,410][DruidDataSource:669] {dataSource-15} inited
[INFO ][2017-06-21 16:50:55,430][DruidDataSource:1385] {dataSource-15} closed
[INFO ][2017-06-21 16:50:55,703][DruidDataSource:669] {dataSource-16} inited
[INFO ][2017-06-21 16:50:55,722][DruidDataSource:1385] {dataSource-16} closed
[INFO ][2017-06-21 16:50:55,812][DruidDataSource:669] {dataSource-17} inited
[INFO ][2017-06-21 16:50:55,826][DruidDataSource:1385] {dataSource-17} closed
[INFO ][2017-06-21 16:50:55,929][DruidDataSource:669] {dataSource-18} inited
[INFO ][2017-06-21 16:50:55,945][DruidDataSource:1385] {dataSource-18} closed
[INFO ][2017-06-21 16:50:56,226][DruidDataSource:669] {dataSource-19} inited
[INFO ][2017-06-21 16:50:56,258][DruidDataSource:1385] {dataSource-19} closed
[INFO ][2017-06-21 16:50:56,417][DruidDataSource:669] {dataSource-20} inited
[INFO ][2017-06-21 16:50:56,433][DruidDataSource:1385] {dataSource-20} closed
[INFO ][2017-06-21 16:50:56,510][DruidDataSource:669] {dataSource-21} inited
[INFO ][2017-06-21 16:50:56,526][DruidDataSource:1385] {dataSource-21} closed
[INFO ][2017-06-21 16:50:56,707][DruidDataSource:669] {dataSource-22} inited
[INFO ][2017-06-21 16:50:56,719][DruidDataSource:1385] {dataSource-22} closed
[INFO ][2017-06-21 16:50:56,913][DruidDataSource:669] {dataSource-23} inited
[INFO ][2017-06-21 16:50:56,928][DruidDataSource:1385] {dataSource-23} closed
[INFO ][2017-06-21 16:50:57,106][DruidDataSource:669] {dataSource-24} inited
[INFO ][2017-06-21 16:50:57,125][DruidDataSource:1385] {dataSource-24} closed
[INFO ][2017-06-21 16:50:57,237][DruidDataSource:669] {dataSource-25} inited
[INFO ][2017-06-21 16:50:57,257][DruidDataSource:1385] {dataSource-25} closed
[INFO ][2017-06-21 16:50:57,341][DruidDataSource:669] {dataSource-26} inited
[INFO ][2017-06-21 16:50:57,364][DruidDataSource:1385] {dataSource-26} closed
[INFO ][2017-06-21 16:50:57,482][DruidDataSource:669] {dataSource-27} inited
[INFO ][2017-06-21 16:50:57,498][DruidDataSource:1385] {dataSource-27} closed
[INFO ][2017-06-21 16:50:57,611][DruidDataSource:669] {dataSource-28} inited
[INFO ][2017-06-21 16:50:57,632][DruidDataSource:1385] {dataSource-28} closed
[INFO ][2017-06-21 16:50:57,785][DruidDataSource:669] {dataSource-29} inited
[INFO ][2017-06-21 16:50:57,802][DruidDataSource:1385] {dataSource-29} closed
[INFO ][2017-06-21 16:50:57,907][DruidDataSource:669] {dataSource-30} inited
[INFO ][2017-06-21 16:50:57,921][DruidDataSource:1385] {dataSource-30} closed
[INFO ][2017-06-21 16:50:58,027][DruidDataSource:669] {dataSource-31} inited
[INFO ][2017-06-21 16:50:58,040][DruidDataSource:1385] {dataSource-31} closed
[INFO ][2017-06-21 16:50:58,293][DruidDataSource:669] {dataSource-32} inited
[INFO ][2017-06-21 16:50:58,317][DruidDataSource:1385] {dataSource-32} closed
[INFO ][2017-06-21 16:50:58,443][DruidDataSource:669] {dataSource-33} inited
[INFO ][2017-06-21 16:50:58,458][DruidDataSource:1385] {dataSource-33} closed
[INFO ][2017-06-21 16:50:58,562][DruidDataSource:669] {dataSource-34} inited
[INFO ][2017-06-21 16:50:58,577][DruidDataSource:1385] {dataSource-34} closed
[INFO ][2017-06-21 16:50:58,661][DruidDataSource:669] {dataSource-35} inited
[INFO ][2017-06-21 16:50:58,681][DruidDataSource:1385] {dataSource-35} closed
[INFO ][2017-06-21 16:50:58,873][DruidDataSource:669] {dataSource-36} inited
[INFO ][2017-06-21 16:50:58,887][DruidDataSource:1385] {dataSource-36} closed
[INFO ][2017-06-21 16:50:58,981][DruidDataSource:669] {dataSource-37} inited
[INFO ][2017-06-21 16:50:58,996][DruidDataSource:1385] {dataSource-37} closed
[INFO ][2017-06-21 16:50:59,115][DruidDataSource:669] {dataSource-38} inited
[INFO ][2017-06-21 16:50:59,126][DruidDataSource:1385] {dataSource-38} closed
[INFO ][2017-06-21 16:50:59,413][DruidDataSource:669] {dataSource-39} inited
[INFO ][2017-06-21 16:50:59,436][DruidDataSource:1385] {dataSource-39} closed
[INFO ][2017-06-21 16:50:59,692][DruidDataSource:669] {dataSource-40} inited
[INFO ][2017-06-21 16:50:59,708][DruidDataSource:1385] {dataSource-40} closed
[INFO ][2017-06-21 16:50:59,956][DruidDataSource:669] {dataSource-41} inited
[INFO ][2017-06-21 16:50:59,969][DruidDataSource:1385] {dataSource-41} closed
[INFO ][2017-06-21 16:51:00,099][DruidDataSource:669] {dataSource-42} inited
[INFO ][2017-06-21 16:51:00,110][DruidDataSource:1385] {dataSource-42} closed
[INFO ][2017-06-21 16:51:00,207][DruidDataSource:669] {dataSource-43} inited
[INFO ][2017-06-21 16:51:00,222][DruidDataSource:1385] {dataSource-43} closed
[INFO ][2017-06-21 16:51:00,334][DruidDataSource:669] {dataSource-44} inited
[INFO ][2017-06-21 16:51:00,345][DruidDataSource:1385] {dataSource-44} closed
[INFO ][2017-06-21 16:51:00,455][DruidDataSource:669] {dataSource-45} inited
[INFO ][2017-06-21 16:51:00,471][DruidDataSource:1385] {dataSource-45} closed
[INFO ][2017-06-21 16:51:00,680][DruidDataSource:669] {dataSource-46} inited
[INFO ][2017-06-21 16:51:00,691][DruidDataSource:1385] {dataSource-46} closed
[INFO ][2017-06-21 16:51:00,812][DruidDataSource:669] {dataSource-47} inited
[INFO ][2017-06-21 16:51:00,821][DruidDataSource:1385] {dataSource-47} closed
[INFO ][2017-06-21 16:51:00,917][DruidDataSource:669] {dataSource-48} inited
[INFO ][2017-06-21 16:51:00,925][DruidDataSource:1385] {dataSource-48} closed
[INFO ][2017-06-21 16:51:00,987][DruidDataSource:669] {dataSource-49} inited
[INFO ][2017-06-21 16:51:00,997][DruidDataSource:1385] {dataSource-49} closed
[INFO ][2017-06-21 16:51:01,048][DruidDataSource:669] {dataSource-50} inited
[INFO ][2017-06-21 16:51:01,061][DruidDataSource:1385] {dataSource-50} closed
[INFO ][2017-06-21 16:51:01,276][DruidDataSource:669] {dataSource-51} inited
[INFO ][2017-06-21 16:51:01,298][DruidDataSource:1385] {dataSource-51} closed
[INFO ][2017-06-21 16:51:01,395][DruidDataSource:669] {dataSource-52} inited
[INFO ][2017-06-21 16:51:01,405][DruidDataSource:1385] {dataSource-52} closed
[INFO ][2017-06-21 16:51:01,508][DruidDataSource:669] {dataSource-53} inited
[INFO ][2017-06-21 16:51:01,520][DruidDataSource:1385] {dataSource-53} closed
[INFO ][2017-06-21 16:51:01,676][DruidDataSource:669] {dataSource-54} inited
[INFO ][2017-06-21 16:51:01,691][DruidDataSource:1385] {dataSource-54} closed
[INFO ][2017-06-21 16:51:01,795][DruidDataSource:669] {dataSource-55} inited
[INFO ][2017-06-21 16:51:01,809][DruidDataSource:1385] {dataSource-55} closed
[INFO ][2017-06-21 16:51:01,877][DruidDataSource:669] {dataSource-56} inited
[INFO ][2017-06-21 16:51:01,889][DruidDataSource:1385] {dataSource-56} closed
[INFO ][2017-06-21 16:51:01,993][DruidDataSource:669] {dataSource-57} inited
[INFO ][2017-06-21 16:51:02,045][DruidDataSource:1385] {dataSource-57} closed
[INFO ][2017-06-21 16:51:02,148][DruidDataSource:669] {dataSource-58} inited
[INFO ][2017-06-21 16:51:02,159][DruidDataSource:1385] {dataSource-58} closed
[INFO ][2017-06-21 16:51:02,239][DruidDataSource:669] {dataSource-59} inited
[INFO ][2017-06-21 16:51:02,249][DruidDataSource:1385] {dataSource-59} closed
[INFO ][2017-06-21 16:51:02,333][DruidDataSource:669] {dataSource-60} inited
[INFO ][2017-06-21 16:51:02,348][DruidDataSource:1385] {dataSource-60} closed
[INFO ][2017-06-21 16:51:02,442][DruidDataSource:669] {dataSource-61} inited
[INFO ][2017-06-21 16:51:02,455][DruidDataSource:1385] {dataSource-61} closed
[INFO ][2017-06-21 16:51:02,535][DruidDataSource:669] {dataSource-62} inited
[INFO ][2017-06-21 16:51:02,548][DruidDataSource:1385] {dataSource-62} closed
[INFO ][2017-06-21 16:51:02,658][DruidDataSource:669] {dataSource-63} inited
[INFO ][2017-06-21 16:51:02,670][DruidDataSource:1385] {dataSource-63} closed
[INFO ][2017-06-21 16:51:05,122][DruidDataSource:669] {dataSource-64} inited
[INFO ][2017-06-21 16:51:05,133][DruidDataSource:1385] {dataSource-64} closed
[INFO ][2017-06-21 16:51:06,820][DruidDataSource:669] {dataSource-65} inited
[INFO ][2017-06-21 16:51:06,836][DruidDataSource:1385] {dataSource-65} closed
[INFO ][2017-06-21 16:51:08,296][DruidDataSource:669] {dataSource-66} inited
[INFO ][2017-06-21 16:51:08,309][DruidDataSource:1385] {dataSource-66} closed
[INFO ][2017-06-21 16:51:08,462][DruidDataSource:669] {dataSource-67} inited
[INFO ][2017-06-21 16:51:08,472][DruidDataSource:1385] {dataSource-67} closed
[INFO ][2017-06-21 16:51:09,013][DruidDataSource:669] {dataSource-68} inited
[INFO ][2017-06-21 16:51:09,023][DruidDataSource:1385] {dataSource-68} closed
[INFO ][2017-06-21 16:51:09,829][DruidDataSource:669] {dataSource-69} inited
[INFO ][2017-06-21 16:51:09,845][DruidDataSource:1385] {dataSource-69} closed
[INFO ][2017-06-21 16:51:09,973][DruidDataSource:669] {dataSource-70} inited
[INFO ][2017-06-21 16:51:09,988][DruidDataSource:1385] {dataSource-70} closed
[INFO ][2017-06-21 16:51:10,281][DruidDataSource:669] {dataSource-71} inited
[INFO ][2017-06-21 16:51:10,307][DruidDataSource:1385] {dataSource-71} closed
[INFO ][2017-06-21 16:51:10,746][DruidDataSource:669] {dataSource-72} inited
[INFO ][2017-06-21 16:51:10,762][DruidDataSource:1385] {dataSource-72} closed
[INFO ][2017-06-21 16:51:10,835][DruidDataSource:669] {dataSource-73} inited
[INFO ][2017-06-21 16:51:10,844][DruidDataSource:1385] {dataSource-73} closed
[INFO ][2017-06-21 16:51:10,915][DruidDataSource:669] {dataSource-74} inited
[INFO ][2017-06-21 16:51:10,926][DruidDataSource:1385] {dataSource-74} closed
[INFO ][2017-06-21 16:51:11,003][DruidDataSource:669] {dataSource-75} inited
[INFO ][2017-06-21 16:51:11,012][DruidDataSource:1385] {dataSource-75} closed
[INFO ][2017-06-21 16:51:11,159][DruidDataSource:669] {dataSource-76} inited
[INFO ][2017-06-21 16:51:11,350][DruidDataSource:1385] {dataSource-76} closed
[INFO ][2017-06-21 16:51:11,452][DruidDataSource:669] {dataSource-77} inited
[INFO ][2017-06-21 16:51:11,462][DruidDataSource:1385] {dataSource-77} closed
[INFO ][2017-06-21 16:51:11,548][DruidDataSource:669] {dataSource-78} inited
